Price,Close,High,Low,Open,Volume
Ticker,FLUT,FLUT,FLUT,FLUT,FLUT
Date,,,,,
2020-07-27,134.0,150.55299377441406,134.0,149.25,5000
2020-07-28,151.0,151.0,143.0,148.0,11900
2020-07-29,158.0,158.0,151.0,151.0,11100
2020-07-30,152.1300048828125,155.0,147.5,153.0,8400
2020-07-31,150.0,153.0,150.0,151.10000610351562,8100
2020-08-03,152.5,153.75,152.5,153.75,1000
2020-08-04,151.0,151.0,151.0,151.0,500
2020-08-05,152.0,158.0,115.1500015258789,155.0,4000
2020-08-06,153.75,158.0,150.0,154.0,2900
2020-08-07,155.0,155.0,155.0,155.0,2000
2020-08-10,153.0,154.0,153.0,154.0,900
2020-08-11,158.39999389648438,158.39999389648438,152.6999969482422,153.5,17900
2020-08-12,158.0,158.0,154.25,156.0,2300
2020-08-13,164.0,164.0,158.0,158.0,4200
2020-08-14,157.0,169.0,157.0,158.10000610351562,3400
2020-08-17,158.0,160.0,158.0,160.0,800
2020-08-18,160.0,172.25,159.0,163.0,5400
2020-08-19,148.66000366210938,162.5,148.66000366210938,158.0,2000
2020-08-20,157.0,161.25,126.05999755859375,140.65499877929688,3700
2020-08-21,159.0,160.0,155.85000610351562,157.75,4400
2020-08-24,159.39999389648438,160.0,157.5,158.0,5000
2020-08-25,161.25,161.25,159.39999389648438,160.0,6800
2020-08-26,162.5,163.75,162.5,163.0,5600
2020-08-27,161.0,167.4499969482422,161.0,166.35000610351562,5500
2020-08-28,167.50999450683594,167.50999450683594,164.052001953125,164.052001953125,34700
2020-08-31,166.0,168.9250030517578,166.0,168.9250030517578,2900
2020-09-01,160.75,166.10000610351562,160.6999969482422,166.10000610351562,3800
2020-09-02,158.6999969482422,160.0,156.5500030517578,156.5500030517578,2500
2020-09-03,149.5,152.14999389648438,149.5,152.14999389648438,1500
2020-09-04,147.5,150.25,144.99000549316406,149.0,3200
2020-09-08,144.60000610351562,148.375,144.60000610351562,147.5,3500
2020-09-09,148.0,148.0,146.0,146.10000610351562,1700
2020-09-10,150.60000610351562,152.0,148.02099609375,149.2449951171875,69000
2020-09-11,153.3000030517578,153.3000030517578,151.5800018310547,151.75,34400
2020-09-14,154.74000549316406,154.74000549316406,152.0,152.0,58900
2020-09-15,161.22500610351562,161.22500610351562,158.97500610351562,159.10000610351562,52700
2020-09-16,160.5,161.8000030517578,158.0500030517578,161.8000030517578,26900
2020-09-17,163.0500030517578,163.22000122070312,160.86000061035156,160.89999389648438,28600
2020-09-18,159.0,162.5,159.0,161.25,22200
2020-09-21,152.97500610351562,154.9499969482422,151.5,152.0,87800
2020-09-22,148.8800048828125,148.8800048828125,147.5500030517578,147.5500030517578,6900
2020-09-23,151.25,153.5,151.25,153.5,3700
2020-09-24,152.5,152.5,149.8699951171875,150.19000244140625,2900
2020-09-25,164.5,164.5,157.5,158.0,81600
2020-09-28,161.5749969482422,163.0,160.0,162.6999969482422,66400
2020-09-29,159.25,160.75,158.4600067138672,160.75,10700
2020-09-30,159.1699981689453,159.5500030517578,158.8699951171875,159.4499969482422,1700
2020-10-01,157.5,159.0,157.0,157.0,4200
2020-10-02,158.0,158.0,156.85000610351562,156.85000610351562,1100
2020-10-05,161.0,161.0,159.0,159.0,1900
2020-10-06,162.2100067138672,165.88400268554688,161.5399932861328,161.5399932861328,2900
2020-10-07,161.5,163.74000549316406,161.5,162.2100067138672,1700
2020-10-08,164.32000732421875,166.52999877929688,164.30999755859375,166.52999877929688,4400
2020-10-09,169.1999969482422,169.1999969482422,167.0,167.0,5600
2020-10-12,169.0,170.0,166.6199951171875,169.3000030517578,1600
2020-10-13,169.0,169.50999450683594,165.6300048828125,165.6300048828125,4200
2020-10-14,167.6999969482422,170.0,167.6999969482422,170.0,1600
2020-10-15,169.5,169.5,167.1999969482422,168.2100067138672,2200
2020-10-16,171.96499633789062,171.96499633789062,170.41000366210938,171.0,1900
2020-10-19,169.5,169.52000427246094,169.22000122070312,169.52000427246094,2300
2020-10-20,168.0,169.5,168.0,169.5,1200
2020-10-21,166.24000549316406,166.24000549316406,166.24000549316406,166.24000549316406,500
2020-10-22,164.08999633789062,166.0,164.08999633789062,166.0,3000
